id,food,calorie,protein,lipid,carbohydrate,fiber,sugar_content,salt
309,豆腐竹輪　焼き　,139,16.1,4.9,7.5,0.7,6.8,2.3
310,ろくじょう豆腐　,347,34.7,21.5,3.8,3.2,0.6,11
311,だいず［納豆類］糸引き納豆　,200,16.5,10,12.1,6.7,5.4,0
312,だいず［納豆類］挽きわり納豆　,194,16.6,10,10.5,5.9,4.6,0
313,だいず［納豆類］五斗納豆　,227,15.3,8.1,24,4.9,19.1,5.8
314,だいず［納豆類］寺納豆　,271,18.6,8.1,31.5,7.6,23.9,14.2
315,だいず［その他］おから　生　,111,6.1,3.6,13.8,11.5,2.3,0
316,だいず［その他］おから　乾燥　,421,23.1,13.6,52.3,43.6,8.7,0
317,だいず［その他］豆乳　豆乳　,46,3.6,2,3.1,0.2,2.9,0
318,だいず［その他］豆乳　調製豆乳　,64,3.2,3.6,4.8,0.3,4.5,0.1
319,豆乳　豆乳飲料・麦芽コーヒー　,60,2.2,2.2,7.8,0.1,7.7,0.1
320,大豆たんぱく　粒状大豆たんぱく　,360,46.3,3,36.7,17.8,18.9,0
321,大豆たんぱく　濃縮大豆たんぱく　,361,58.2,1.7,27.9,20.9,7,1.4
322,大豆たんぱく　分離大豆たんぱく　塩分無調整,388,79.1,3,7.5,4.2,3.3,3.3
323,大豆たんぱく　分離大豆たんぱく　塩分調整,388,79.1,3,7.5,4.2,3.3,1.6
324,大豆たんぱく　繊維状大豆たんぱく　,383,59.3,5,25.2,5.6,19.6,3.6
325,だいず［その他］湯葉　生　,231,21.8,13.7,4.1,0.8,3.3,0
326,だいず［その他］湯葉　干し　乾　,530,50.4,32.1,7.2,3,4.2,0
327,だいず［その他］湯葉　干し　湯戻し　,161,15.7,10.6,0.1,1.2,0,0
328,だいず［その他］金山寺みそ　,256,6.9,3.2,50,3.2,46.8,5.1
329,だいず［その他］ひしおみそ　,206,6.5,2.7,38.8,2.8,36,4.8
330,だいず［その他］テンペ　,202,15.8,9,15.4,10.2,5.2,0
331,つるあずき　全粒　乾　,348,20.8,1.6,61.8,22,39.8,0
332,つるあずき　全粒　ゆで　,159,9.7,1,27.5,13.4,14.1,0
333,ひよこまめ　全粒　乾　,374,20,5.2,61.5,16.3,45.2,0
334,ひよこまめ　全粒　ゆで　,171,9.5,2.5,27.4,11.6,15.8,0
